target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
180,7,48.00000000,91264.00000000,90742.00000000,572.00000000,522.00000000,99.42803296,99.37359003,99.40080404,99.34362112,99.91819141,95.08344326,2.77777778,2.77777778,0.00000000,22.54180849,22.30671101,1260.00000000,12.97760010,99.39053131,-0.01027273,68.18181818
180,8,48.00000000,91264.00000000,90570.00000000,592.00000000,694.00000000,99.23956872,99.35060661,99.29505663,99.20485219,99.93309294,95.21664276,2.77777778,2.77777778,0.00000000,11.28295283,28.34424118,1440.00000000,14.83154297,99.39053131,0.09547469,63.63636364
180,9,48.00000000,91264.00000000,90556.00000000,667.00000000,708.00000000,99.22422861,99.26882475,99.24652167,99.15071732,99.93309294,95.17534352,2.77777778,2.77777778,0.00000000,5.63805173,34.33154731,1620.00000000,16.68548584,99.39053131,0.14400964,59.09090909
180,10,48.00000000,91264.00000000,90563.00000000,565.00000000,701.00000000,99.23189867,99.37999298,99.30589061,99.21524810,99.93309294,95.15553591,2.77777778,2.77777778,0.00000000,2.81881192,40.35537790,1800.00000000,18.53942871,99.39053131,0.08464070,54.54545455
180,11,48.00000000,91264.00000000,90561.00000000,608.00000000,703.00000000,99.22970722,99.33310665,99.28138001,99.18796397,99.93309294,95.21757874,2.77777778,2.77777778,0.00000000,1.40972787,46.36904234,1980.00000000,20.39337158,99.39053131,0.10915130,50.00000000
250,6,48.00000000,91264.00000000,90750.00000000,835.00000000,514.00000000,99.43679874,99.08827865,99.26223277,99.20940241,99.93443336,94.95248258,1.11111111,3.11111111,0.00000000,45.48102795,16.44047335,1500.00000000,15.44952393,99.39053131,0.12829854,62.12121212
250,7,48.00000000,91264.00000000,90752.00000000,436.00000000,512.00000000,99.43899018,99.52186691,99.48041129,99.44400514,99.93309294,97.71307281,1.11111111,3.00000000,0.00000000,22.54133201,22.31030432,1750.00000000,18.02444458,99.39053131,-0.08987997,55.80808081
250,8,48.00000000,91264.00000000,90773.00000000,437.00000000,491.00000000,99.46200035,99.52088587,99.49143440,99.45780879,99.93354422,97.94805530,1.11111111,3.00000000,0.00000000,11.28293470,28.34615484,2000.00000000,20.59936523,99.39053131,-0.10090308,49.49494949
250,9,48.00000000,91264.00000000,90757.00000000,434.00000000,507.00000000,99.44446879,99.52407584,99.48425639,99.44889558,99.93309294,97.82411920,1.11111111,3.00000000,0.00000000,5.63864545,34.33214834,2250.00000000,23.17428589,99.39053131,-0.09372508,43.18181818
250,10,48.00000000,91264.00000000,90773.00000000,434.00000000,491.00000000,99.46200035,99.52415933,99.49307013,99.45632017,99.92548097,97.82411920,1.11111111,3.00000000,0.00000000,2.81860392,40.35261725,2500.00000000,25.74920654,99.39053131,-0.10253882,36.86868687
250,11,48.00000000,91264.00000000,90774.00000000,435.00000000,490.00000000,99.46309607,99.52307338,99.49307569,99.45686880,99.92548097,97.83546715,1.11111111,3.00000000,0.00000000,1.40973957,46.37391315,2750.00000000,28.32412720,99.39053131,-0.10254438,30.55555556
360,6,48.00000000,91264.00000000,90644.00000000,649.00000000,620.00000000,99.32065217,99.28910212,99.30487464,99.26276200,99.93177164,97.51423555,0.00000000,2.77777778,0.00000000,45.48274327,16.43447723,2160.00000000,22.24731445,99.39053131,0.08565667,45.45454545
360,7,48.00000000,91264.00000000,90644.00000000,515.00000000,620.00000000,99.32065217,99.43505304,99.37781968,99.33861228,99.92039509,97.30149680,0.00000000,2.77777778,0.00000000,22.54193694,22.30511870,2520.00000000,25.95520020,99.39053131,0.01271163,36.36363636
360,8,48.00000000,91264.00000000,90667.00000000,524.00000000,597.00000000,99.34585379,99.42538189,99.38560193,99.34708011,99.93041770,97.40797650,0.00000000,2.77777778,0.00000000,11.28274297,28.34132120,2880.00000000,29.66308594,99.39053131,0.00492938,27.27272727
360,9,48.00000000,91264.00000000,90673.00000000,518.00000000,591.00000000,99.35242812,99.43196149,99.39217889,99.35483786,99.93041770,97.39395647,0.00000000,2.77777778,0.00000000,5.63860247,34.32262225,3240.00000000,33.37097168,99.39053131,-0.00164758,18.18181818
360,10,48.00000000,91264.00000000,90674.00000000,513.00000000,590.00000000,99.35352384,99.43741981,99.39545412,99.35808443,99.93041770,97.40797650,0.00000000,2.77777778,0.00000000,2.81878304,40.34736997,3600.00000000,37.07885742,99.39053131,-0.00492281,9.09090909
360,11,48.00000000,91264.00000000,90671.00000000,519.00000000,593.00000000,99.35023668,99.43085865,99.39053131,99.35352582,99.93041770,97.36589873,0.00000000,2.77777778,0.00000000,1.40958667,46.36542549,3960.00000000,40.78674316,99.39053131,0.00000000,0.00000000
