dataset,record,base_record,snr_db,eval_scope,target_fs_hz,bits,lsb_uv,raw_bitrate_bps,storage_mib_per_day,tolerance_ms,reference_beats,detected_beats,tp,fp,fn,sensitivity_pct,ppv_pct,f1_pct,median_abs_timing_error_ms,p95_abs_timing_error_ms,clipping_rate_pct,quantization_rmse_uv,quantization_snr_db,evaluated_duration_s
nstdb,118e00,118,0,noise_only,100,7,78.12500000,700,7.20977783,75,982,1611,646,965,336,65.78411405,40.09931719,49.82645584,13.33333333,66.52777778,2.57677960,278.93197337,16.08438208,782.75555556
nstdb,118e00,118,0,noise_only,100,8,39.06250000,800,8.23974609,75,982,1630,656,974,326,66.80244399,40.24539877,50.22970904,11.94444444,65.00000000,2.50396035,273.41075448,16.25803620,782.75555556
nstdb,118e00,118,0,noise_only,100,9,19.53125000,900,9.26971436,75,982,1630,652,978,330,66.39511202,40.00000000,49.92343032,12.22222222,65.50000000,2.47968726,270.82920998,16.34043801,782.75555556
nstdb,118e00,118,0,noise_only,100,10,9.76562500,1000,10.29968262,75,982,1626,649,977,333,66.08961303,39.91389914,49.76993865,12.77777778,66.11111111,2.46563442,269.58549897,16.38041751,782.75555556
nstdb,118e00,118,0,noise_only,100,11,4.88281250,1100,11.32965088,75,982,1626,649,977,333,66.08961303,39.91389914,49.76993865,12.77777778,65.66666667,2.45541418,268.97571025,16.40008681,782.75555556
nstdb,118e00,118,0,noise_only,125,6,156.25000000,750,7.72476196,75,982,1596,698,898,284,71.07942974,43.73433584,54.15050427,7.22222222,60.66666667,2.67566048,291.32787593,15.70614610,782.75555556
nstdb,118e00,118,0,noise_only,125,7,78.12500000,875,9.01222229,75,982,1589,701,888,281,71.38492872,44.11579610,54.53131077,7.33333333,62.77777778,2.55710563,278.89619767,16.08493508,782.75555556
nstdb,118e00,118,0,noise_only,125,8,39.06250000,1000,10.29968262,75,982,1589,711,878,271,72.40325866,44.74512272,55.30921820,7.33333333,61.61111111,2.50089427,273.36839288,16.25882096,782.75555556
nstdb,118e00,118,0,noise_only,125,9,19.53125000,1125,11.58714294,75,982,1596,709,887,273,72.19959267,44.42355890,55.00387898,7.22222222,61.00000000,2.47636568,270.78512320,16.34129093,782.75555556
nstdb,118e00,118,0,noise_only,125,10,9.76562500,1250,12.87460327,75,982,1589,704,885,278,71.69042770,44.30459408,54.76468300,7.16666667,61.88333333,2.46716746,269.54015043,16.38131762,782.75555556
nstdb,118e00,118,0,noise_only,125,11,4.88281250,1375,14.16206360,75,982,1596,706,890,276,71.89409369,44.23558897,54.77114042,7.16666667,62.58333333,2.45899126,268.92968863,16.40101197,782.75555556
nstdb,118e00,118,0,noise_only,180,6,156.25000000,1080,11.12365723,75,982,1593,751,842,231,76.47657841,47.14375392,58.33009709,5.55555556,58.33333333,2.67502271,291.08785931,15.71180452,782.75555556
nstdb,118e00,118,0,noise_only,180,7,78.12500000,1260,12.97760010,75,982,1592,745,847,237,75.86558045,46.79648241,57.88655789,5.55555556,55.55555556,2.56217352,278.67884748,16.09020625,782.75555556
nstdb,118e00,118,0,noise_only,180,8,39.06250000,1440,14.83154297,75,982,1593,743,850,239,75.66191446,46.64155681,57.70873786,5.55555556,55.55555556,2.50823302,273.14724036,16.26435002,782.75555556
nstdb,118e00,118,0,noise_only,180,9,19.53125000,1620,16.68548584,75,982,1593,749,844,233,76.27291242,47.01820465,58.17475728,5.55555556,55.55555556,2.47487509,270.56548775,16.34683838,782.75555556
nstdb,118e00,118,0,noise_only,180,10,9.76562500,1800,18.53942871,75,982,1595,744,851,238,75.76374745,46.64576803,57.74155995,5.55555556,55.55555556,2.45784124,269.32212462,16.38684572,782.75555556
nstdb,118e00,118,0,noise_only,180,11,4.88281250,1980,20.39337158,75,982,1594,744,850,238,75.76374745,46.67503137,57.76397516,5.55555556,55.55555556,2.44719509,268.71208310,16.40654245,782.75555556
nstdb,118e00,118,0,noise_only,250,6,156.25000000,1500,15.44952393,75,982,1568,739,829,243,75.25458248,47.13010204,57.96078431,2.77777778,56.25555556,2.67311908,291.07521148,15.71202884,782.75555556
nstdb,118e00,118,0,noise_only,250,7,78.12500000,1750,18.02444458,75,982,1587,744,843,238,75.76374745,46.88090737,57.92137018,2.66666667,56.50555556,2.56120681,278.65039288,16.09094008,782.75555556
nstdb,118e00,118,0,noise_only,250,8,39.06250000,2000,20.59936523,75,982,1590,751,839,231,76.47657841,47.23270440,58.39813375,2.66666667,55.66666667,2.49426386,273.12563382,16.26488403,782.75555556
nstdb,118e00,118,0,noise_only,250,9,19.53125000,2250,23.17428589,75,982,1584,748,836,234,76.17107943,47.22222222,58.30085737,2.66666667,56.43888889,2.46718007,270.54303568,16.34740610,782.75555556
nstdb,118e00,118,0,noise_only,250,10,9.76562500,2500,25.74920654,75,982,1585,746,839,236,75.96741344,47.06624606,58.12232178,2.66666667,56.47222222,2.45644875,269.29858466,16.38745186,782.75555556
nstdb,118e00,118,0,noise_only,250,11,4.88281250,2750,28.32412720,75,982,1584,746,838,236,75.96741344,47.09595960,58.14497272,2.66666667,56.11111111,2.44929454,268.68844318,16.40715354,782.75555556
nstdb,118e00,118,0,noise_only,360,6,156.25000000,2160,22.24731445,75,982,1594,757,837,225,77.08757637,47.49058971,58.77329193,2.77777778,55.55555556,2.67431297,290.81952328,15.71773397,782.75555556
nstdb,118e00,118,0,noise_only,360,7,78.12500000,2520,25.95520020,75,982,1597,760,837,222,77.39307536,47.58922981,58.93757270,2.77777778,55.55555556,2.55756019,278.40372165,16.09670440,782.75555556
nstdb,118e00,118,0,noise_only,360,8,39.06250000,2880,29.66308594,75,982,1589,758,831,224,77.18940937,47.70295784,58.96538312,2.77777778,55.55555556,2.50149046,272.87543623,16.27091627,782.75555556
nstdb,118e00,118,0,noise_only,360,9,19.53125000,3240,33.37097168,75,982,1592,761,831,221,77.49490835,47.80150754,59.12975913,2.77777778,55.55555556,2.46884227,270.29371629,16.35348614,782.75555556
nstdb,118e00,118,0,noise_only,360,10,9.76562500,3600,37.07885742,75,982,1592,760,832,222,77.39307536,47.73869347,59.05205905,2.77777778,55.55555556,2.45287304,269.05037013,16.39353325,782.75555556
nstdb,118e00,118,0,noise_only,360,11,4.88281250,3960,40.78674316,75,982,1591,761,830,221,77.49490835,47.83155248,59.15273999,2.77777778,55.55555556,2.44435612,268.44045365,16.41324585,782.75555556
nstdb,118e00,118,0,noise_only,100,6,156.25000000,600,6.17980957,150,982,1628,809,819,173,82.38289206,49.69287469,61.99233716,26.66666667,131.44444444,2.68664725,291.35443612,15.70591537,782.75555556
nstdb,118e00,118,0,noise_only,100,7,78.12500000,700,7.20977783,150,982,1611,789,822,193,80.34623218,48.97579143,60.85615118,31.66666667,132.66666667,2.57677960,278.93197337,16.08438208,782.75555556
nstdb,118e00,118,0,noise_only,100,8,39.06250000,800,8.23974609,150,982,1630,810,820,172,82.48472505,49.69325153,62.02143951,29.16666667,133.33333333,2.50396035,273.41075448,16.25803620,782.75555556
