snr_db,target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
0,250,11,2.00000000,1848.00000000,1669.00000000,1449.00000000,179.00000000,90.31385281,53.52790250,67.21707612,67.14805793,67.14805793,65.28980579,3.61111111,126.30833334,2.00241199,220.91977732,17.80433018,2750.00000000,28.32412720,68.75000000,1.53292388,30.55555556
0,360,6,2.00000000,1848.00000000,1680.00000000,1372.00000000,168.00000000,90.90909091,55.04587156,68.57142857,68.50492030,68.50492030,67.34102559,2.77777778,127.77777778,2.20801158,241.88277275,16.98857883,2160.00000000,22.24731445,68.75000000,0.17857143,45.45454545
0,360,7,2.00000000,1848.00000000,1682.00000000,1364.00000000,166.00000000,91.01731602,55.21996060,68.73722926,68.67252279,68.67252279,67.59295422,2.77777778,125.00000000,2.10155008,229.88733763,17.44674498,2520.00000000,25.95520020,68.75000000,0.01277074,36.36363636
0,360,8,2.00000000,1848.00000000,1680.00000000,1366.00000000,168.00000000,90.90909091,55.15430072,68.65549653,68.60386714,68.60386714,67.68690415,2.77777778,125.00000000,2.05328753,224.72199843,17.65039451,2880.00000000,29.66308594,68.75000000,0.09450347,27.27272727
0,360,9,2.00000000,1848.00000000,1685.00000000,1365.00000000,163.00000000,91.17965368,55.24590164,68.80359330,68.73882477,68.73882477,67.59677404,2.77777778,126.38888889,2.02472037,222.36782560,17.74430426,3240.00000000,33.37097168,68.75000000,-0.05359330,18.18181818
0,360,10,2.00000000,1848.00000000,1685.00000000,1364.00000000,163.00000000,91.17965368,55.26402099,68.81764346,68.75334691,68.75334691,67.62436612,2.77777778,125.00000000,2.00981575,221.25007938,17.78909901,3600.00000000,37.07885742,68.75000000,-0.06764346,9.09090909
0,360,11,2.00000000,1848.00000000,1683.00000000,1365.00000000,165.00000000,91.07142857,55.21653543,68.75000000,68.68503829,68.68503829,67.54004925,2.77777778,125.06944445,2.00165370,220.70611544,17.81094058,3960.00000000,40.78674316,68.75000000,0.00000000,0.00000000
6,100,6,2.00000000,1848.00000000,1714.00000000,1271.00000000,134.00000000,92.74891775,57.42043551,70.92902959,70.85471830,70.85471830,65.37621334,30.83333333,123.50000000,0.04088099,47.34722408,25.83959180,600.00000000,6.17980957,81.99815838,11.06912879,84.84848485
6,100,7,2.00000000,1848.00000000,1711.00000000,1293.00000000,137.00000000,92.58658009,56.95739015,70.52761748,70.44798734,70.44798734,65.01472355,30.55555555,125.43055555,0.03768715,26.07844836,31.04345013,700.00000000,7.20977783,81.99815838,11.47054090,82.32323232
6,100,8,2.00000000,1848.00000000,1713.00000000,1297.00000000,135.00000000,92.69480519,56.91029900,70.52284891,70.45200777,70.45200777,64.92108582,30.83333333,124.56944444,0.03704839,16.73469807,35.01202778,800.00000000,8.23974609,81.99815838,11.47530947,79.79797980
